image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
00,0.031,0.012,21.08,0.6732,507.0845294
00,0.061,0.023,22.21,0.7684,390.9132228
00,0.125,0.047,23.58,0.8651,285.1545862
00,0.166,0.062,24.27,0.8835,243.2654100
00,0.249,0.093,25.29,0.9171,192.3447606
00,0.333,0.124,26.20,0.9348,155.9841106
00,0.499,0.186,27.80,0.9555,107.9146387
00,1.000,0.372,31.40,0.9824,47.10644830
01,0.031,0.012,29.55,0.8816,72.12409236
01,0.063,0.023,30.99,0.9157,51.77026176
01,0.125,0.047,32.50,0.9405,36.56624467
01,0.166,0.062,33.21,0.9502,31.05134102
01,0.247,0.092,34.35,0.9628,23.88253159
01,0.331,0.123,35.43,0.9700,18.62431725
01,0.497,0.185,37.06,0.9801,12.79618060
01,0.996,0.371,40.76,0.992,5.45858856
02,0.031,0.012,28.69,0.8993,87.91851842
02,0.062,0.023,30.46,0.9324,58.48983024
02,0.125,0.047,32.66,0.9605,35.24360790
02,0.165,0.061,33.63,0.9681,28.18904487
02,0.250,0.093,35.56,0.9765,18.07508552
02,0.330,0.123,36.97,0.9824,13.06412601
02,0.500,0.186,39.58,0.9898,7.16275936
02,0.998,0.371,44.65,0.9966,2.22884753
03,0.032,0.012,28.37,0.8581,94.6412267
03,0.061,0.023,29.83,0.9018,67.6208088
03,0.123,0.046,31.57,0.9372,45.2981391
03,0.165,0.061,32.37,0.9500,37.6773510
03,0.250,0.093,33.76,0.9636,27.3577490
03,0.333,0.124,34.84,0.9735,21.3343964
03,0.497,0.185,36.46,0.9828,14.6919811
03,0.995,0.370,40.25,0.9928,6.13875585
04,0.030,0.011,19.29,0.6787,765.7382843
04,0.062,0.023,20.69,0.7852,554.7283491
04,0.124,0.046,22.31,0.8648,382.0149515
04,0.167,0.062,23.13,0.8931,316.2862855
04,0.250,0.093,24.46,0.9204,232.8522082
04,0.333,0.124,25.47,0.9413,184.5356848
04,0.500,0.186,27.38,0.9620,118.8722166
04,0.998,0.371,31.83,0.9860,42.6658459
05,0.031,0.012,23.43,0.7573,295.1755362
05,0.063,0.023,24.52,0.8106,229.6573562
05,0.123,0.046,25.82,0.8661,170.2473501
05,0.165,0.061,26.56,0.8940,143.5755078
05,0.250,0.093,27.91,0.9205,105.2156544
05,0.333,0.124,29.10,0.9408,79.9982268
05,0.498,0.185,30.92,0.9618,52.6114608
05,0.998,0.371,35.47,0.9874,18.4535685
06,0.031,0.012,24.70,0.8402,220.3334125
06,0.062,0.023,26.76,0.9027,137.1135454
06,0.125,0.047,29.50,0.9540,72.9592500
06,0.167,0.062,30.83,0.9650,53.7131177
06,0.248,0.092,32.85,0.9782,33.7349725
06,0.334,0.124,34.69,0.9851,22.0841334
06,0.500,0.186,37.44,0.9919,11.7241229
06,0.999,0.372,43.33,0.9972,3.0205106
07,0.031,0.012,17.92,0.7181,1049.7366516
07,0.061,0.023,19.27,0.7990,769.2727716
07,0.125,0.047,21.16,0.8621,497.8291936
07,0.165,0.061,22.04,0.8921,406.5185435
07,0.250,0.093,23.55,0.9218,287.1311834
07,0.331,0.123,24.70,0.9321,220.3334125
07,0.498,0.185,26.77,0.9547,136.7981930
07,0.998,0.371,31.45,0.9829,46.5672252
08,0.031,0.012,26.47,0.8791,146.5819048
08,0.061,0.023,28.46,0.9305,92.7001338
08,0.125,0.047,31.05,0.9606,51.0599471
08,0.167,0.062,32.27,0.9688,38.5549692
08,0.250,0.093,34.27,0.9788,24.3265410
08,0.333,0.124,35.86,0.9839,16.8686513
08,0.500,0.186,38.35,0.9894,9.5078071
08,0.995,0.370,42.11,0.9940,4.0001876
09,0.030,0.011,26.28,0.8468,153.1370797
09,0.062,0.023,28.19,0.8988,98.6462001
09,0.125,0.047,30.70,0.9414,55.3452509
09,0.167,0.062,31.80,0.9554,42.9615915
09,0.249,0.093,33.54,0.9696,28.7793089
09,0.334,0.124,34.99,0.9776,20.6101124
09,0.498,0.185,37.20,0.9857,12.3902583
09,1.000,0.372,41.48,0.9944,4.6246659
10,0.031,0.012,24.13,0.8093,251.2351268
10,0.062,0.023,25.54,0.8554,181.5851633
10,0.124,0.046,27.13,0.9018,125.9158382
10,0.166,0.062,27.97,0.9139,103.7720415
10,0.247,0.092,29.31,0.9345,76.2220036
10,0.330,0.123,30.41,0.9504,59.1671106
10,0.498,0.185,32.40,0.9672,37.4179819
10,0.997,0.371,36.88,0.9885,13.3376821
11,0.032,0.012,28.82,0.8732,85.3257984
11,0.062,0.023,30.43,0.9061,58.8952624
11,0.125,0.047,32.26,0.9383,38.6438476
11,0.166,0.062,33.12,0.9475,31.7015401
11,0.249,0.093,34.51,0.9644,23.0186771
11,0.332,0.124,35.82,0.9730,17.0247350
11,0.497,0.185,37.75,0.9829,10.9164231
11,0.999,0.372,41.90,0.9938,4.1983666
12,0.031,0.012,19.34,0.6397,756.9729506
12,0.063,0.023,20.21,0.7246,619.5557057
12,0.125,0.047,21.29,0.7980,483.1481944
12,0.166,0.062,21.82,0.8295,427.6420087
12,0.249,0.093,22.84,0.8623,338.1273967
12,0.326,0.121,23.49,0.8890,291.1255760
12,0.500,0.186,24.96,0.9209,207.5297490
12,0.999,0.372,28.18,0.9662,98.8736031
13,0.031,0.012,22.69,0.7535,350.0099261
13,0.060,0.022,24.04,0.8217,256.4958607
13,0.125,0.047,25.76,0.8831,172.6157267
13,0.167,0.062,26.49,0.9081,145.9084221
13,0.250,0.093,27.75,0.9317,109.1642313
13,0.332,0.124,28.81,0.9453,85.5224947
13,0.496,0.185,30.39,0.9654,59.4402135
13,0.994,0.370,34.21,0.9868,24.6649569
14,0.030,0.011,27.36,0.8814,119.4209058
14,0.063,0.023,29.41,0.9194,74.4869790
14,0.123,0.046,31.26,0.9507,48.6497218
14,0.166,0.062,32.30,0.9602,38.2895587
14,0.249,0.093,33.89,0.9727,26.5509681
14,0.331,0.123,35.13,0.9790,19.9563155
14,0.500,0.186,37.21,0.9866,12.3617615
14,0.994,0.370,41.61,0.9943,4.4882843
15,0.030,0.011,26.98,0.8340,130.3407936
15,0.060,0.022,28.04,0.8774,102.1128414
15,0.123,0.046,29.55,0.9192,72.1240924
15,0.167,0.062,30.42,0.9347,59.0310300
15,0.247,0.092,31.66,0.9518,44.3690736
15,0.333,0.124,32.97,0.9633,32.8156009
15,0.497,0.185,34.92,0.9780,20.9449998
15,0.997,0.371,39.41,0.9924,7.4486979
16,0.032,0.012,25.67,0.8407,176.2302109
16,0.062,0.023,27.37,0.8962,119.1462453
16,0.123,0.046,29.53,0.9375,72.4570020
16,0.166,0.062,30.62,0.9509,56.3741960
16,0.250,0.093,32.28,0.9674,38.4662953
16,0.333,0.124,33.70,0.9743,27.7383332
16,0.498,0.185,35.81,0.9849,17.0639811
16,0.993,0.370,40.25,0.9946,6.1387558
17,0.031,0.012,22.62,0.7356,355.6971299
17,0.062,0.023,23.76,0.8120,273.5774901
17,0.125,0.047,25.26,0.8736,193.6780308
17,0.161,0.060,25.89,0.8920,167.5252832
17,0.250,0.093,27.27,0.9235,121.9215179
17,0.333,0.124,28.37,0.9439,94.6412267
17,0.497,0.185,30.08,0.9642,63.8381600
17,1.000,0.372,34.37,0.9856,23.7728013
18,0.030,0.011,23.60,0.7908,283.8444199
18,0.062,0.023,25.55,0.8520,181.1675290
18,0.125,0.047,27.74,0.8946,109.4158808
18,0.166,0.062,28.73,0.9201,87.1124766
18,0.248,0.092,30.18,0.9430,62.3850261
18,0.333,0.124,31.36,0.9567,47.5423189
18,0.497,0.185,33.24,0.9745,30.8375851
18,0.996,0.371,37.71,0.9892,11.0174315
19,0.031,0.012,26.40,0.9069,148.9636691
19,0.062,0.023,28.47,0.9379,92.4869294
19,0.125,0.047,30.93,0.9602,52.4904578
19,0.167,0.062,32.07,0.9707,40.3720090
19,0.250,0.093,33.77,0.9805,27.2948279
19,0.333,0.124,35.22,0.9863,19.5470112
19,0.495,0.184,37.49,0.9923,11.5899179
19,1.000,0.372,43.63,0.9972,2.8189045
20,0.030,0.011,23.08,0.8367,319.9487081
20,0.061,0.023,24.51,0.8902,230.1867710
20,0.125,0.047,26.33,0.9281,151.3841340
20,0.167,0.062,27.14,0.9449,125.6262398
20,0.250,0.093,28.60,0.9572,89.7594868
20,0.332,0.124,29.91,0.9678,66.3865899
20,0.498,0.185,31.94,0.9793,41.5987577
20,0.997,0.371,37.04,0.9908,12.8552451
21,0.031,0.012,25.43,0.7778,186.2431725
21,0.062,0.023,26.69,0.8470,139.3414613
21,0.124,0.046,28.22,0.8979,97.9671245
21,0.164,0.061,28.94,0.9176,83.0004335
21,0.250,0.093,30.19,0.9386,62.2415445
21,0.333,0.124,31.14,0.9551,50.0127069
21,0.498,0.185,32.89,0.9717,33.4256884
21,0.997,0.371,36.96,0.9880,13.0942419
22,0.030,0.011,29.00,0.9076,81.8616249
22,0.062,0.023,31.61,0.9451,44.8828432
22,0.124,0.046,34.69,0.9695,22.0841334
22,0.167,0.062,36.18,0.9789,15.6704101
22,0.250,0.093,38.13,0.9857,10.0018505
22,0.333,0.124,39.67,0.9902,7.0158511
22,0.499,0.186,41.63,0.9933,4.4676625
22,0.998,0.371,44.91,0.9970,2.0993283
23,0.030,0.011,21.81,0.7506,428.6278254
23,0.063,0.023,23.05,0.8186,322.1664866
23,0.122,0.045,24.56,0.8757,227.5518449
23,0.167,0.062,25.47,0.8915,184.5356848
23,0.249,0.093,26.74,0.9238,137.7464328
23,0.332,0.124,27.92,0.9415,104.9736652
23,0.500,0.186,29.88,0.9628,66.8467598
23,0.997,0.371,34.47,0.9869,23.2316663